Guilt Free Zone,
"OVERNIGHT SOAKED OATS JAR WITH SEEDS, BERRIES & FRUITS",269
SAUTÉED VEGETABLES,₹299
GARDEN FRESH HUNG CURD SANDWICH WITH BROWN BREAD,₹329
SAUTÉED MUSHROOM,₹349
VEGGIES IN RICE PAPER ROLL,₹349
BROWN RICE STIR FRY BOWL,₹399
COTTAGE CHEESE & QUINOA WRAP,₹399
,
Steamy Affairs,
CHILLI CORIANDER SOUP,₹189
CREAMY TOMATO SOUP,₹229
VEG MANCHOW SOUP,₹269
CREAMY MUSHROOM SOUP,₹329
CREAMY BROCCOLI SOUP,₹329
,
Sandwiches & Toasts,
PLAIN BUTTER TOAST WITH SUGAR/SALT,₹99
CHILLI CHEESE TOAST,₹149
BOMBAY ALOO SANDWICH,₹229
VEG CHEESE SANDWICH,₹249
TOMATO CHEESE SANDWICH,₹249
CORN CHEESE SANDWICH,₹249
GRILLED PANEER TIKKA SANDWICH,₹299
,
Lazy Munchies,
WAI WAI BHEL,₹199
VEG SPRING ROLLS,₹219
HONEY CHILLI POTATO,₹229
BUTTER MAGGI (VEGGIES OPTIONAL),₹229
BUTTER MAGGI (VEGGIES OPTIONAL),₹249
CHINESE BHEL,₹249
CHEESE GARLIC BREAD,₹249
J ALAPENO CHEESE BALLS,₹249
CRISPY CHILLI BABYCORN,₹249
FRENCH FRIES,₹249
PERI PERI FENCH FRIES,₹269
HARA BHARA KEBAB,₹299
LOTUS STEM,₹329
FUSION BRUSCHETTA,₹349
CHEESY NACHOS WITH SALSA,₹349
PANEER TIKKA,₹349
CHEESE FONDUE,₹419
CHEESE LASAGNA,₹489
CREAMY MAC ‘N’ CHEESE,₹489
,
,
Chinese Mains,
,
VEG FRIED RICE,₹199
CHILLI GARLIC NOODLES,₹249
VEG HAKKA NOODLES,₹249
VEG MANCHURIAN - GRAVY,₹299
CHILLI PANEER - GRAVY,₹349
,
,
Italian Mains,
,
CLASSIC MARGHERITA PIZZA,₹349
FARM HOUSE VEG PIZZA,₹399
MUSHROOM PIZZA,₹469
PENNE PASTA ( WHITE/ RED/ MIXED SAUCE),₹369
CLASSIC SPAGHETTI AGLIO E OLIO,₹419
,
,
Coastal Classics From Iconic Beaches,
,
GREECE GREEK SALAD,₹249
MEXICO MEXICAN RICE WITH CHEESY POTATO,₹399
AUSTRAILIA AUSTRAILIAN AVOCADO TOAST WITH OLIVE OIL,₹399
I NDIA GOAN VEG XACUTI WITH STEAMED RICE,₹399
THAILAND THAI GREEN/ RED CURRY WITH STEAMED RICE,₹419
,
,
North Indian Mains,
,
VEGGIES & PANEER,
ALOO DO PYAZA,₹199
KASHMIRI ALOO DUM,₹199
CHANA MASALA,₹249
MIXED VEG,₹249
PANEER BUTTER MASALA,₹299
KADAI PANEER,₹299
MALAI KOFTA,₹299
,
RICE & DALS,
STEAMED RICE,₹129
J EERA RICE,₹149
VEG PULAO,₹249
YELLOW DAL TADKA,₹249
DAL MAKHANI,₹299
,
I NDIAN BREADS,
PLAIN TANDOORI ROTI,₹39
BUTTER TANDOORI ROTI,₹49
PALIN NAAN,₹59
BUTTER NAAN,₹69
GARLIC NAAN,₹89
CHEESE GARLIC NAAN,₹99
MASALA KULCHA,₹109
,
PAPAD,
PLAIN ROASTED PAPAD (2PCS),₹59
MASALA PAPAD (2PCS),₹89
,
,
Platters,
,
,
"DESI DETOX PLATTER
 ( MAKHANA, PEANUT MASALA CHAT &
 GREEN TEA/ BLACK COFFEE)",₹299
,
"CHAI PLATTER
 ( MILK TEA, BHUJIA, SWALI, NAMKEEN,
 BISCUIT, TOASTED BREAD)",₹329
,
" CHEESE PARANTHA PLATTER
 ( CHEESY PARANTHA WITH CURD & PICKLE",₹349
,
"CLASSIC NORTH INDIAN COMFORT PLATTER
 ( PANEER BUTTER MASALA, 1 BUTTTER NAAN,
 RICE, YELLOW DAL, PAPAD, LEMON, CHILLI,
 ONION  & PICKLE)",₹399
,
,
Pancakes & Dessert,
,
" CLASSIC PANCAKE WITH MAPLE SYRUP &
 WHIPPED CREAM",₹179
NUTELLA PANCAKE WITH WHIPPED CREAM,₹249
CHOCOLATE BROWNIE WITH ICE CREAM,₹279
BISCOFF CHEESECAKE JAR,₹399
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Beverage Menu,
Mocktails & Shakes,
,
FRESH LIME SODA,₹129
LEMON ICED TEA,₹129
COLD COFFEE,₹179
VIRGIN MOJITO,₹199
STRAWBERRY MOJITO,₹199
BLUEBERRY MOJITO,₹199
MILK ROSE WITH ICE CREAM,₹199
